question,answer
"who is your creator","my creator name is NAVEEN😎 , he is the student of KNCET"
"hi macha","hi how can you help you today😁😊"
"how are you ?","i'm fine macha"
"What is the difference between RAM and ROM?","RAM is temporary memory; ROM is permanent memory."
"What is a process?","A process is a program in execution."
"What is a thread?","The smallest unit of execution inside a process."
"What is an operating system?","Software that manages hardware and software resources."
"What is virtual memory?","Memory extension technique using disk storage."
"What is deadlock?","A situation where processes wait forever for resources."
"What are the 4 conditions of deadlock?","Mutual exclusion, Hold & wait, No preemption, Circular wait."
"What is a system call?","A way for programs to request OS services."
"What is context switching?","Switching CPU from one process to another."
"What is PCB?","Process Control Block storing info about a process."
"What is kernel?","The core part of the OS."
"What is multitasking?","Running multiple tasks at the same time."
"What is multithreading?","Running multiple threads inside one process."
"What is scheduling?","Deciding which process runs next."
"What is FCFS scheduling?","Processes executed in order of arrival."
"What is SJF scheduling?","Shortest Job First scheduling."
"What is Round Robin scheduling?","Each process gets equal time slice."
"What is preemptive scheduling?","Interrupting a running process."
"What is non-preemptive scheduling?","Process completes before next starts."
"What is priority scheduling?","Scheduler picks highest priority task."
"What is starvation?","A process waits indefinitely."
"What is a semaphore?","A synchronization tool to control access."
"What is a mutex?","A mutual exclusion lock."
"What is paging?","Memory management using fixed-size blocks."
"What is segmentation?","Memory divided into logical segments."
"What is a page fault?","Requested page not found in RAM."
"What is thrashing?","Excessive swapping reducing performance."
"What is fragmentation?","Wastage of memory space."
"What is internal fragmentation?","Unused memory inside allocated block."
"What is external fragmentation?","Free memory is scattered."
"What is a file system?","Method for storing and retrieving files."
"What is FAT?","File Allocation Table."
"What is NTFS?","New Technology File System."
"What is Linux?","Open-source operating system."
"What is Windows OS?","A graphical operating system by Microsoft."
"What is BIOS?","Basic Input Output System."
"What is UEFI?","Modern firmware replacing BIOS."
"What is booting?","Loading OS into memory."
"What is a device driver?","Software allowing OS to control hardware."
"What is a shell?","Command interpreter."
"What is a command?","Instruction given to a computer."
"What is I/O?","Input and Output operations."
"What is caching?","Storing frequently used data."
"What is a buffer?","Temporary data storage."
"What is IPC?","Interprocess Communication."
"What is a pipe?","Unidirectional IPC channel."
"What is a socket?","Communication endpoint over a network."
"What is a distributed OS?","OS managing multiple connected computers."
"What is cloud computing?","Using remote servers via internet."
"What is virtualization?","Creating virtual versions of hardware."
"What is hypervisor?","Software that runs virtual machines."
"What is CPU?","Central Processing Unit."
"What is GPU?","Graphics Processing Unit."
"What is compiler?","Converts code to machine language."
"What is interpreter?","Executes code line by line."
"What is Python?","High-level programming language."
"What is a variable?","A named memory location."
"What is a data type?","Type of data a variable holds."
"What is a list in Python?","Ordered, mutable collection."
"What is a tuple?","Ordered, immutable collection."
"What is a dictionary?","Key-value pair collection."
"What is a loop?","Repeated execution of code."
"What is recursion?","Function calling itself."
"What is OOP?","Object-Oriented Programming."
"What is a class?","Blueprint of an object."
"What is an object?","Instance of a class."
"What is inheritance?","Deriving one class from another."
"What is polymorphism?","Same function different forms."
"What is encapsulation?","Wrapping data and functions."
"What is abstraction?","Hiding internal details."
"What is constructor?","Method called when object is created."
"What is destructor?","Method called when object is deleted."
"What is Java?","Object-oriented programming language."
"What is C language?","General-purpose programming language."
"What is API?","Interface to communicate software."
"What is JSON?","Lightweight data format."
"What is CSV?","Comma-separated values file."
"What is HTML?","Markup language for web pages."
"What is CSS?","Styling language for web design."
"What is JavaScript?","Web scripting language."
"What is Node.js?","JavaScript runtime environment."
"What is database?","Organized collection of data."
"What is SQL?","Structured Query Language."
"What is primary key?","Unique identifier for table rows."
"What is foreign key?","Key linking two tables."
"What is normalization?","Organizing data to reduce redundancy."
"What is ML?","Machine Learning."
"What is AI?","Artificial Intelligence."
"What is dataset?","Collection of data."
"What is training data?","Data used to train model."
"What is testing data?","Data used to test model."
"What is accuracy?","Correct predictions percentage."
"What is neural network?","AI model inspired by human brain."
"What is deep learning?","ML using neural networks."
"What is chatbot?","AI program that interacts with users."
"What is OCR?","Optical Character Recognition."
"What is cloud storage?","Saving data on remote servers."
"What is cybersecurity?","Protecting systems from attacks."
"What is encryption?","Converting data into unreadable form."
"What is hashing?","Generating fixed-size value from input."
"What is network?","Connected devices for communication."
"What is IP address?","Unique address of a device."
"What is WiFi?","Wireless network technology."
"What is Bluetooth?","Short-range wireless communication."
"What is hotspot?","Sharing internet wirelessly."
"What is AI?","AI stands for Artificial Intelligence."
"What is Machine Learning?","Machine Learning is a subset of AI that learns from data."
"What is Deep Learning?","Deep Learning uses neural networks with many layers."
"What is a dataset?","A dataset is a collection of data used for training models."
"What is a model?","A model is a program that learns patterns from data."
"What is supervised learning?","A learning method using labeled data."
"What is unsupervised learning?","A learning method using unlabeled data."
"What is reinforcement learning?","Learning by performing actions and receiving rewards."
"What is Python?","Python is a high-level programming language."
"What is a neural network?","A system of nodes that simulates the human brain."
"What is an algorithm?","A step-by-step procedure to solve a problem."
"What is accuracy?","Accuracy is the percentage of correct predictions."
"What is precision?","Precision is how many predicted positives are correct."
"What is recall?","Recall measures how many actual positives are identified."
"What is F1 score?","The harmonic mean of precision and recall."
"What is a GPU?","A Graphics Processing Unit used for AI training."
"What is tokenization?","Splitting text into smaller units called tokens."
"What is NLP?","Natural Language Processing deals with text and language."
"What is computer vision?","Computer vision helps machines understand images."
"What is OCR?","OCR means Optical Character Recognition."
"What is training data?","Data used to teach the model."
"What is test data?","Data used to evaluate the model."
"What is validation data?","Data used to tune model performance."
"What is overfitting?","When a model learns too much from training data and fails on new data."
"What is underfitting?","When a model learns too little and performs poorly."
"What is a chatbot?","A program that simulates human conversation."
"What is an epoch?","One complete pass through the training dataset."
"What is a parameter?","A value the model learns during training."
"What is a hyperparameter?","A setting chosen before training a model."
"What is loss?","A measure of model error."
"What is backpropagation?","The process of updating neural network weights."
"What is gradient descent?","An optimization method to reduce loss."
"What is a prompt?","Input text given to an AI model."
"What is a label?","The correct answer in supervised learning."
"What is binary classification?","Classification with two categories."
"What is multiclass classification?","Classification with more than two categories."
"What is a feature?","A measurable property of data."
"What is a target?","The output variable the model predicts."
"What is CSV?","A data file format with comma-separated values."
"What is JSON?","A text format for storing and transporting data."
"What is SQL?","A language used to manage databases."
"What is API?","A method for applications to communicate with each other."
"What is cloud computing?","Using remote servers for data and processing."
"What is big data?","Large datasets that are hard to process traditionally."
"What is IoT?","Internet of Things — devices connected to the internet."
"What is automation?","Using machines to perform tasks automatically."
"What is robotics?","Engineering that designs and builds robots."
"What is classification?","Predicting categories from data."
"What is regression?","Predicting continuous values."
"What is clustering?","Grouping similar data points."
"What is K-means?","A clustering algorithm."
"What is SVM?","Support Vector Machine, a classification algorithm."
"What is a decision tree?","A model using tree-like decisions."
"What is random forest?","A collection of decision trees."
"What is a dataset split?","Dividing data into train, test, validation."
"What is an embedding?","A numerical representation of text."
"What is vectorization?","Converting text into numerical vectors."
"What is a transformer model?","A model using self-attention mechanisms."
"What is LLM?","Large Language Model."
"What is ChatGPT?","An AI chatbot developed by OpenAI."
"What is Groq?","A fast inference engine for running AI models."
"What is inference?","Using a trained model to make predictions."
"What is fine-tuning?","Training a model further on custom data."
"What is a learning rate?","A hyperparameter controlling weight updates."
"What is momentum?","An optimization technique to speed up training."
"What is dropout?","A method to prevent overfitting."
"What is batch size?","Number of samples processed at once during training."
"What is a confusion matrix?","A table showing model predictions vs actual."
"What is one-hot encoding?","Representing categories as binary vectors."
"What is normalization?","Scaling values to a common range."
"What is standardization?","Transforming data to mean 0 and std 1."
"What is a pipeline?","A structured workflow of processes."
"What is a notebook?","An interactive coding environment like Jupyter."
"What is PyTorch?","A deep learning framework by Meta."
"What is TensorFlow?","A deep learning framework by Google."
"What is Keras?","A high-level API for TensorFlow."
"What is NumPy?","A Python library for numerical computing."
"What is Pandas?","A library for data analysis."
"What is Matplotlib?","A library for plotting graphs."
"What is over-sampling?","Increasing samples of minority classes."
"What is under-sampling?","Reducing samples of majority classes."
"What is a confusion matrix?","A table comparing real and predicted labels."
"What is ensemble learning?","Combining multiple models to improve accuracy."
"What is transfer learning?","Using a pre-trained model for new tasks."
"What is zero-shot learning?","Model predicting without any example."
"What is few-shot learning?","Model predicting with few examples."
"What is a token?","Smallest unit of text for a model."
"What is AI ethics?","Principles to ensure responsible AI use."
"What is bias in AI?","Unfair outcomes caused by data imbalance."
"What is hallucination in AI?","When a model generates incorrect information."
"What is prompt engineering?","Writing better prompts to improve output."
"What is context length?","Maximum input text a model can understand."
"What is latency?","Time taken to produce output."
"What is scalability?","Ability to handle more users or data."
"What is accuracy score?","Total correct predictions / total predictions."
"What is model optimization?","Improving model performance."
"What is tokenizer?","A tool that splits text into tokens."
"What is embedding model?","A model that converts text to vectors."
"What is diffusion model?","A model that generates images."
"What is a vision model?","A model that understands images."
"What is AGI?","Artificial General Intelligence."